soc1980,soc1980_title,soc2000,soc2000_title
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",41-1012,First-Line Supervisors/Managers of Non-Retail Sales Workers
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",41-3021,Insurance Sales Agents
149,"MANAGEMENT RELATED OCCUPATIONS, NEC",43-6011,Executive Secretaries and Administrative Assistants
161,ARCHITECTS,17-1011,"Architects, Except Landscape and Naval"
161,ARCHITECTS,17-1012,Landscape Architects
1622,AEROSPACE ENGINEERS,17-2011,Aerospace Engineers
1623,METALLURGICAL AND MATERIALS ENGINEERS,17-2131,Materials Engineers
1624,MINING ENGINEERS,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers"
1624,MINING ENGINEERS,17-2171,Petroleum Engineers
1625,PETROLEUM ENGINEERS,11-9041,Engineering Managers
1625,PETROLEUM ENGINEERS,17-2171,Petroleum Engineers
1626,CHEMICAL ENGINEERS,11-9121,Natural Sciences Managers
1626,CHEMICAL ENGINEERS,17-2041,Chemical Engineers
1627,NUCLEAR ENGINEERS,17-2161,Nuclear Engineers
1628,CIVIL ENGINEERS,11-9041,Engineering Managers
1628,CIVIL ENGINEERS,17-2051,Civil Engineers
1628,CIVIL ENGINEERS,17-2161,Nuclear Engineers
1632,AGRICULTURAL ENGINEERS,17-2021,Agricultural Engineers
1633,ELECTRICAL AND ELECTRONIC ENGINEERS,11-9041,Engineering Managers
1633,ELECTRICAL AND ELECTRONIC ENGINEERS,17-2061,Computer Hardware Engineers
1633,ELECTRICAL AND ELECTRONIC ENGINEERS,17-2071,Electrical Engineers
1633,ELECTRICAL AND ELECTRONIC ENGINEERS,17-2072,"Electronics Engineers, Except Computer"
1634,INDUSTRIAL ENGINEERS,17-2051,Civil Engineers
1634,INDUSTRIAL ENGINEERS,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
1634,INDUSTRIAL ENGINEERS,17-2112,Industrial Engineers
1635,MECHANICAL ENGINEERS,11-9041,Engineering Managers
1635,MECHANICAL ENGINEERS,17-2141,Mechanical Engineers
1635,MECHANICAL ENGINEERS,17-3027,Mechanical Engineering Technicians
1636,COMPUTER ENGINEERS,15-1011,"Computer and Information Scientists, Research"
1636,COMPUTER ENGINEERS,15-1031,"Computer Software Engineers, Applications"
1636,COMPUTER ENGINEERS,15-1032,"Computer Software Engineers, Systems Software"
1636,COMPUTER ENGINEERS,15-1099,"Computer Specialists, All Other"
1637,MARINE ENGINEERS AND NAVAL ARCHITECTS,17-2121,Marine Engineers and Naval Architects
1639,"ENGINEERS, NOT ELSEWHERE CLASSIFIED",11-9041,Engineering Managers
1639,"ENGINEERS, NOT ELSEWHERE CLASSIFIED",13-1081,Logisticians
1639,"ENGINEERS, NOT ELSEWHERE CLASSIFIED",17-2031,Biomedical Engineers
1639,"ENGINEERS, NOT ELSEWHERE CLASSIFIED",17-2081,Environmental Engineers
1639,"ENGINEERS, NOT ELSEWHERE CLASSIFIED",17-2199,"Engineers, All Other"
1643,LAND SURVEYORS,17-1022,Surveyors
1644,CARTOGRAPHERS,17-1021,Cartographers and Photogrammetrists
1649,"SURVEYORS AND MAPPING SCIENTISTS, NOT ELSEWHERE CL",17-1022,Surveyors
1712,COMPUTER SYSTEMS ANALYSTS,15-1051,Computer Systems Analysts
1719,"COMPUTER SCIENTISTS, NOT ELSEWHERE CLASSIFIED",15-1041,Computer Support Specialists
1719,"COMPUTER SCIENTISTS, NOT ELSEWHERE CLASSIFIED",15-1051,Computer Systems Analysts
1719,"COMPUTER SCIENTISTS, NOT ELSEWHERE CLASSIFIED",15-1061,Database Administrators
1721,OPERATIONS RESEARCHERS AND ANALYSTS,15-2031,Operations Research Analysts
1732,ACTUARIES,15-2011,Actuaries
1733,STATISTICIANS,15-2041,Statisticians
1739,"MATHEMATICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",15-2021,Mathematicians
1739,"MATHEMATICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",15-2099,"Mathematical Scientists, All Other"
1842,ASTRONOMERS,19-2011,Astronomers
1843,PHYSICISTS,19-1042,"Medical Scientists, Except Epidemiologists"
1843,PHYSICISTS,19-2012,Physicists
1845,"CHEMISTS, EXCEPT BIOCHEMISTS",11-9121,Natural Sciences Managers
1845,"CHEMISTS, EXCEPT BIOCHEMISTS",19-2031,Chemists
1845,"CHEMISTS, EXCEPT BIOCHEMISTS",51-1011,First-Line Supervisors/Managers of Production and Operating Workers
1846,ATMOSPHERIC AND SPACE SCIENTISTS,19-2021,Atmospheric and Space Scientists
1847,GEOLOGISTS,19-2042,"Geoscientists, Except Hydrologists and Geographers"
1847,GEOLOGISTS,19-2043,Hydrologists
1849,"PHYSICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",17-2081,Environmental Engineers
1849,"PHYSICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",19-2032,Materials Scientists
1849,"PHYSICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",19-2041,"Environmental Scientists and Specialists, Including Health"
1849,"PHYSICAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",19-3092,Geographers
1852,FORESTRY AND CONSERVATION SCIENTISTS,13-1199,"Business Operations Specialists, All Other"
1852,FORESTRY AND CONSERVATION SCIENTISTS,19-1031,Conservation Scientists
1852,FORESTRY AND CONSERVATION SCIENTISTS,19-1032,Foresters
1852,FORESTRY AND CONSERVATION SCIENTISTS,19-2099,"Physical Scientists, All Other"
1852,FORESTRY AND CONSERVATION SCIENTISTS,19-4093,Forest and Conservation Technicians
1853,AGRICULTURAL AND FOOD SCIENTISTS,19-1011,Animal Scientists
1853,AGRICULTURAL AND FOOD SCIENTISTS,19-1012,Food Scientists and Technologists
1853,AGRICULTURAL AND FOOD SCIENTISTS,19-1013,Soil and Plant Scientists
1854,BIOLOGICAL SCIENTISTS,19-1013,Soil and Plant Scientists
1854,BIOLOGICAL SCIENTISTS,19-1021,Biochemists and Biophysicists
1854,BIOLOGICAL SCIENTISTS,19-1022,Microbiologists
1854,BIOLOGICAL SCIENTISTS,19-1023,Zoologists and Wildlife Biologists
1854,BIOLOGICAL SCIENTISTS,19-1041,Epidemiologists
1855,MEDICAL SCIENTISTS,19-1041,Epidemiologists
1855,MEDICAL SCIENTISTS,19-1042,"Medical Scientists, Except Epidemiologists"
1855,MEDICAL SCIENTISTS,19-1099,"Life Scientists, All Other"
1912,ECONOMISTS,19-3011,Economists
1912,ECONOMISTS,19-3021,Market Research Analysts
1913,HISTORIANS,19-3093,Historians
1913,HISTORIANS,27-3043,Writers and Authors
1914,POLITICAL SCIENTISTS,19-3094,Political Scientists
1915,PSYCHOLOGISTS,19-3031,"Clinical, Counseling, and School Psychologists"
1915,PSYCHOLOGISTS,19-3032,Industrial-Organizational Psychologists
1915,PSYCHOLOGISTS,19-3039,"Psychologists, All Other"
1916,SOCIOLOGISTS,19-3041,Sociologists
1919,"SOCIAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",19-3091,Anthropologists and Archeologists
1919,"SOCIAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",19-3099,"Social Scientists and Related Workers, All Other"
1919,"SOCIAL SCIENTISTS, NOT ELSEWHERE CLASSIFIED",25-4013,Museum Technicians and Conservators
192,URBAN AND REGIONAL PLANNERS,19-3051,Urban and Regional Planners
2032,SOCIAL WORKERS,11-9151,Social and Community Service Managers
2032,SOCIAL WORKERS,21-1011,Substance Abuse and Behavioral Disorder Counselors
2032,SOCIAL WORKERS,21-1021,"Child, Family, and School Social Workers"
2032,SOCIAL WORKERS,21-1022,Medical and Public Health Social Workers
2032,SOCIAL WORKERS,21-1023,Mental Health and Substance Abuse Social Workers
2032,SOCIAL WORKERS,21-1092,Probation Officers and Correctional Treatment Specialists
2032,SOCIAL WORKERS,21-1093,Social and Human Service Assistants
2032,SOCIAL WORKERS,33-3021,Detectives and Criminal Investigators
2032,SOCIAL WORKERS,39-9041,Residential Advisors
2032,SOCIAL WORKERS,43-4061,"Eligibility Interviewers, Government Programs"
2033,RECREATION WORKERS,39-9032,Recreation Workers
2042,CLERGY,21-2011,Clergy
2049,"RELIGIOUS WORKERS, NOT ELSEWHERE CLASSIFIED",21-2021,"Directors, Religious Activities and Education"
2049,"RELIGIOUS WORKERS, NOT ELSEWHERE CLASSIFIED",21-2099,"Religious Workers, All Other"
211,LAWYERS,13-1199,"Business Operations Specialists, All Other"
211,LAWYERS,23-1011,Lawyers
212,JUDGES,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers"
212,JUDGES,23-1023,"Judges, Magistrate Judges, and Magistrates"
2212,"ATMOSPHERIC, EARTH, MARINE, AND SPACE SCIENCES TEACHERS",25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary"
2213,BIOLOGICAL SCIENCES TEACHERS,25-1042,"Biological Science Teachers, Postsecondary"
2214,CHEMISTRY TEACHERS,25-1052,"Chemistry Teachers, Postsecondary"
2215,PHYSICS TEACHERS,25-1054,"Physics Teachers, Postsecondary"
2216,"NATURAL SCIENCE TEACHERS,NOT ELSEWHERE CLASSIFIED",25-3021,Self-Enrichment Education Teachers
2216,"NATURAL SCIENCES TEACHERS, NEC",25-1053,"Environmental Science Teachers, Postsecondary"
2216,"NATURAL SCIENCES TEACHERS, NEC",25-1199,"Postsecondary Teachers, All Other"
2217,PSYCHOLOGY TEACHERS,25-1066,"Psychology Teachers, Postsecondary"
2218,ECONOMICS TEACHERS,25-1063,"Economics Teachers, Postsecondary"
2222,HISTORY TEACHERS,25-1125,"History Teachers, Postsecondary"
2223,POLITICAL SCIENCE TEACHERS,25-1065,"Political Science Teachers, Postsecondary"
2224,SOCIOLOGY TEACHERS,25-1061,"Anthropology and Archeology Teachers, Postsecondary"
2224,SOCIOLOGY TEACHERS,25-1067,"Sociology Teachers, Postsecondary"
2225,"SOCIAL SCIENCES TEACHERS, NEC",25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary"
2225,"SOCIAL SCIENCES TEACHERS, NEC",25-1064,"Geography Teachers, Postsecondary"
2225,"SOCIAL SCIENCES TEACHERS, NEC",25-1069,"Social Sciences Teachers, Postsecondary, All Other"
2226,ENGINEERING TEACHERS,25-1032,"Engineering Teachers, Postsecondary"
2227,MATHEMATICAL SCIENCES TEACHERS,25-1022,"Mathematical Science Teachers, Postsecondary"
2228,COMPUTER SCIENCE TEACHERS,25-1021,"Computer Science Teachers, Postsecondary"
2231,MEDICAL SCIENCE TEACHERS,25-1071,"Health Specialties Teachers, Postsecondary"
2232,"HEALTH SPECIALTIES TEACHERS, NOT ELSEWHERE CLASSIF",25-1072,"Nursing Instructors and Teachers, Postsecondary"
2232,"HEALTH SPECIALTIES TEACHERS, NEC",25-1072,"Nursing Instructors and Teachers, Postsecondary"
2233,"BUSINESS, COMMERCE AND MARKETING TEACHERS",25-1011,"Business Teachers, Postsecondary"
2233,"BUSINESS, COMMERCE AND MARKETING TEACHERS",25-1011,"Business Teachers, Postsecondary"
2234,AGRICULTURE TEACHERS,25-1041,"Agricultural Sciences Teachers, Postsecondary"
2235,"ART, DRAMA, AND MUSIC TEACHERS",25-1121,"Art, Drama, and Music Teachers, Postsecondary"
2236,PHYSICAL EDUCATION TEACHERS,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
2237,EDUCATION TEACHERS,25-1081,"Education Teachers, Postsecondary"
2238,ENGLISH TEACHERS,25-1123,"English Language and Literature Teachers, Postsecondary"
2242,FOREIGN LANGUAGE TEACHERS,25-1124,"Foreign Language and Literature Teachers, Postsecondary"
2243,LAW TEACHERS,25-1112,"Law Teachers, Postsecondary"
2244,SOCIAL WORK TEACHERS,25-1113,"Social Work Teachers, Postsecondary"
2245,THEOLOGY TEACHERS,25-1126,"Philosophy and Religion Teachers, Postsecondary"
2246,TRADE AND INDUSTRIAL TEACHERS,25-1194,"Vocational Education Teachers, Postsecondary"
2247,HOME ECONOMICS TEACHERS,25-1192,"Home Economics Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NOT ELSEWHERE CLASSIFIED",25-1194,"Vocational Education Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NOT ELSEWHERE CLASSIFIED",25-2031,"Secondary School Teachers, Except Special and Vocational Education"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1021,"Computer Science Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1031,"Architecture Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1043,"Forestry and Conservation Science Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1082,"Library Science Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1122,"Communications Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1126,"Philosophy and Religion Teachers, Postsecondary"
2249,"TEACHERS; POSTSECONDARY, NEC",25-1191,Graduate Teaching Assistants
2249,"TEACHERS; POSTSECONDARY, NEC",25-1199,"Postsecondary Teachers, All Other"
231,PREKINDERGARTEN AND KINDERGARTEN TEACHERS,25-2011,"Preschool Teachers, Except Special Education"
231,PREKINDERGARTEN AND KINDERGARTEN TEACHERS,25-2012,"Kindergarten Teachers, Except Special Education"
232,ELEMENTARY SCHOOL TEACHERS,25-2021,"Elementary School Teachers, Except Special Education"
233,SECONDARY SCHOOL TEACHERS,25-2022,"Middle School Teachers, Except Special and Vocational Education"
233,SECONDARY SCHOOL TEACHERS,25-2023,"Vocational Education Teachers, Middle School"
233,SECONDARY SCHOOL TEACHERS,25-2031,"Secondary School Teachers, Except Special and Vocational Education"
233,SECONDARY SCHOOL TEACHERS,25-2032,"Vocational Education Teachers, Secondary School"
235,TEACHERS; SPECIAL EDUCATION,25-2041,"Special Education Teachers, Preschool, Kindergarten, and Elementary School"
235,TEACHERS; SPECIAL EDUCATION,25-2042,"Special Education Teachers, Middle School"
235,TEACHERS; SPECIAL EDUCATION,25-2043,"Special Education Teachers, Secondary School"
236,INSTRUCTIONAL COORDINATORS,21-1091,Health Educators
236,INSTRUCTIONAL COORDINATORS,25-9011,Audio-Visual Collections Specialists
236,INSTRUCTIONAL COORDINATORS,25-9031,Instructional Coordinators
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-1192,"Home Economics Teachers, Postsecondary"
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-1193,"Recreation and Fitness Studies Teachers, Postsecondary"
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-1194,"Vocational Education Teachers, Postsecondary"
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-2022,"Middle School Teachers, Except Special and Vocational Education"
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-2031,"Secondary School Teachers, Except Special and Vocational Education"
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-3011,"Adult Literacy, Remedial Education, and GED Teachers and Instructors"
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-3021,Self-Enrichment Education Teachers
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-3099,"Teachers and Instructors, All Other"
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",25-9021,Farm and Home Management Advisors
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",39-9011,Child Care Workers
239,"ADULT EDUCATION AND OTHER TEACHERS, NOT ELSEWHERE",39-9031,Fitness Trainers and Aerobics Instructors
24,VOCATIONAL AND EDUCATIONAL COUNSELORS,21-1012,"Educational, Vocational, and School Counselors"
24,VOCATIONAL AND EDUCATIONAL COUNSELORS,21-1013,Marriage and Family Therapists
24,VOCATIONAL AND EDUCATIONAL COUNSELORS,21-1015,Rehabilitation Counselors
251,LIBRARIANS,13-1199,"Business Operations Specialists, All Other"
251,LIBRARIANS,25-4021,Librarians
251,LIBRARIANS,25-4031,Library Technicians
251,LIBRARIANS,25-9099,"Education, Training, and Library Workers, All Other"
252,ARCHIVISTS AND CURATORS,25-4011,Archivists
252,ARCHIVISTS AND CURATORS,25-4012,Curators
252,ARCHIVISTS AND CURATORS,25-4013,Museum Technicians and Conservators
252,ARCHIVISTS AND CURATORS,25-9099,"Education, Training, and Library Workers, All Other"
252,ARCHIVISTS AND CURATORS,39-6021,Tour Guides and Escorts
261,PHYSICIANS,29-1061,Anesthesiologists
261,PHYSICIANS,29-1062,Family and General Practitioners
261,PHYSICIANS,29-1063,"Internists, General"
261,PHYSICIANS,29-1064,Obstetricians and Gynecologists
261,PHYSICIANS,29-1065,"Pediatricians, General"
261,PHYSICIANS,29-1066,Psychiatrists
261,PHYSICIANS,29-1067,Surgeons
261,PHYSICIANS,29-1069,"Physicians and Surgeons, All Other"
261,PHYSICIANS,29-1199,"Health Diagnosing and Treating Practitioners, All Other"
262,DENTISTS,11-9199,"Managers, All Other"
262,DENTISTS,29-1021,"Dentists, General"
262,DENTISTS,29-1022,Oral and Maxillofacial Surgeons
262,DENTISTS,29-1023,Orthodontists
262,DENTISTS,29-1024,Prosthodontists
262,DENTISTS,29-1029,"Dentists, All Other Specialists"
27,VETERINARIANS,29-1131,Veterinarians
281,OPTOMETRISTS,29-1041,Optometrists
283,PODIATRISTS,29-1081,Podiatrists
289,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, NOT",29-1011,Chiropractors
289,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, NOT",29-1129,"Therapists, All Other"
289,"HEALTH DIAGNOSING AND TREATING PRACTITIONERS, NOT",29-1199,"Health Diagnosing and Treating Practitioners, All Other"
29,REGISTERED NURSES,29-1111,Registered Nurses
301,PHARMACISTS,29-1051,Pharmacists
302,DIETITIANS,29-1031,Dietitians and Nutritionists
302,DIETITIANS,29-2051,Dietetic Technicians
3031,RESPIRATORY THERAPISTS,29-1126,Respiratory Therapists
3032,OCCUPATIONAL THERAPISTS,29-1122,Occupational Therapists
3033,PHYSICAL THERAPISTS,29-1123,Physical Therapists
3033,PHYSICAL THERAPISTS,29-1129,"Therapists, All Other"
3034,SPEECH PATHOLOGISTS AND AUDIOLOGISTS,29-1121,Audiologists
3034,SPEECH PATHOLOGISTS AND AUDIOLOGISTS,29-1127,Speech-Language Pathologists
3039,"THERAPISTS, NOT ELSEWHERE CLASSIFIED",11-9111,Medical and Health Services Managers
3039,"THERAPISTS, NOT ELSEWHERE CLASSIFIED",19-3031,"Clinical, Counseling, and School Psychologists"
3039,"THERAPISTS, NOT ELSEWHERE CLASSIFIED",21-1015,Rehabilitation Counselors
3039,"THERAPISTS, NOT ELSEWHERE CLASSIFIED",25-3099,"Teachers and Instructors, All Other"
3039,"THERAPISTS, NOT ELSEWHERE CLASSIFIED",29-1125,Recreational Therapists
3039,"THERAPISTS, NOT ELSEWHERE CLASSIFIED",29-1129,"Therapists, All Other"
304,PHYSICIAN'S ASSISTANTS,29-1071,Physician Assistants
321,AUTHORS,27-3043,Writers and Authors
321,AUTHORS,27-3099,"Media and Communication Workers, All Other"
322,DESIGNERS,27-1011,Art Directors
322,DESIGNERS,27-1021,Commercial and Industrial Designers
322,DESIGNERS,27-1022,Fashion Designers
322,DESIGNERS,27-1023,Floral Designers
322,DESIGNERS,27-1024,Graphic Designers
322,DESIGNERS,27-1025,Interior Designers
322,DESIGNERS,27-1026,Merchandise Displayers and Window Trimmers
322,DESIGNERS,27-1027,Set and Exhibit Designers
323,MUSICIANS AND COMPOSERS,13-1199,"Business Operations Specialists, All Other"
323,MUSICIANS AND COMPOSERS,27-2041,Music Directors and Composers
323,MUSICIANS AND COMPOSERS,27-2042,Musicians and Singers
323,MUSICIANS AND COMPOSERS,27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
324,ACTORS AND DIRECTORS,27-2011,Actors
324,ACTORS AND DIRECTORS,27-2012,Producers and Directors
324,ACTORS AND DIRECTORS,27-3041,Editors
324,ACTORS AND DIRECTORS,43-9061,"Office Clerks, General"
325,"PAINTERS, SCULPTORS, CRAFT-ARTISTS AND ARTIST-PRIN",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
325,"PAINTERS, SCULPTORS, CRAFT-ARTISTS AND ARTIST-PRIN",27-1014,Multi-Media Artists and Animators
325,"PAINTERS, SCULPTORS, CRAFT-ARTISTS AND ARTIST-PRIN",27-1021,Commercial and Industrial Designers
325,"PAINTERS, SCULPTORS, CRAFT-ARTISTS AND ARTIST-PRIN",33-1012,First-Line Supervisors/Managers of Police and Detectives
326,PHOTOGRAPHERS,27-4021,Photographers
326,PHOTOGRAPHERS,27-4031,"Camera Operators, Television, Video, and Motion Picture"
326,PHOTOGRAPHERS,39-9099,"Personal Care and Service Workers, All Other"
327,DANCERS,27-2031,Dancers
327,DANCERS,27-2032,Choreographers
328,"PERFORMERS, NOT ELSEWHERE CLASSIFIED",27-2011,Actors
328,"PERFORMERS, NOT ELSEWHERE CLASSIFIED",27-2012,Producers and Directors
328,"PERFORMERS, NOT ELSEWHERE CLASSIFIED",27-2021,Athletes and Sports Competitors
328,"PERFORMERS, NOT ELSEWHERE CLASSIFIED",27-2099,"Entertainers and Performers, Sports and Related Workers, All Other"
328,"PERFORMERS, NOT ELSEWHERE CLASSIFIED",27-4011,Audio and Video Equipment Technicians
328,"PERFORMERS, NOT ELSEWHERE CLASSIFIED",39-2011,Animal Trainers
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",11-1011,Chief Executives
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",11-9199,"Managers, All Other"
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",23-2091,Court Reporters
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",25-9011,Audio-Visual Collections Specialists
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators"
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",27-1027,Set and Exhibit Designers
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",27-3043,Writers and Authors
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",27-3091,Interpreters and Translators
329,"WRITERS, ARTISTS, AND RELATED WORKERS; NOT ELSEWHE",51-7099,"Woodworkers, All Other"
3312,EDITORS,27-3041,Editors
3312,EDITORS,27-3042,Technical Writers
3312,EDITORS,27-4032,Film and Video Editors
3313,REPORTERS,27-3021,Broadcast News Analysts
3313,REPORTERS,27-3022,Reporters and Correspondents
3313,REPORTERS,27-3043,Writers and Authors
332,PUBLIC RELATIONS SPECIALISTS AND PUBLICITY WRITERS,11-2031,Public Relations Managers
332,PUBLIC RELATIONS SPECIALISTS AND PUBLICITY WRITERS,13-1079,"Human Resources, Training, and Labor Relations Specialists, All Other"
332,PUBLIC RELATIONS SPECIALISTS AND PUBLICITY WRITERS,27-3031,Public Relations Specialists
333,"RADIO, TELEVISION AND OTHER ANNOUNCERS",27-3011,Radio and Television Announcers
333,"RADIO, TELEVISION AND OTHER ANNOUNCERS",27-3012,Public Address System and Other Announcers
34,ATHLETES AND RELATED WORKERS,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes"
34,ATHLETES AND RELATED WORKERS,27-2021,Athletes and Sports Competitors
34,ATHLETES AND RELATED WORKERS,27-2022,Coaches and Scouts
34,ATHLETES AND RELATED WORKERS,27-2023,"Umpires, Referees, and Other Sports Officials"
34,ATHLETES AND RELATED WORKERS,29-9091,Athletic Trainers
34,ATHLETES AND RELATED WORKERS,39-2021,Nonfarm Animal Caretakers
362,CLINICAL LABORATORY TECHNOLOGISTS AND TECHNICIANS,29-2011,Medical and Clinical Laboratory Technologists
363,DENTAL HYGIENISTS,29-2021,Dental Hygienists
364,HEALTH RECORD TECHNOLOGISTS AND TECHNICIANS,29-2071,Medical Records and Health Information Technicians
365,RADIOLOGIC TECHNOLOGISTS AND TECHNCIANS,29-1124,Radiation Therapists
365,RADIOLOGIC TECHNOLOGISTS AND TECHNCIANS,29-2031,Cardiovascular Technologists and Technicians
365,RADIOLOGIC TECHNOLOGISTS AND TECHNCIANS,29-2033,Nuclear Medicine Technologists
365,RADIOLOGIC TECHNOLOGISTS AND TECHNCIANS,29-2034,Radiologic Technologists and Technicians
366,LICENSED PRACTICAL NURSES,29-2053,Psychiatric Technicians
366,LICENSED PRACTICAL NURSES,29-2061,Licensed Practical and Licensed Vocational Nurses
366,LICENSED PRACTICAL NURSES,31-1012,"Nursing Aides, Orderlies, and Attendants"
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-1071,Physician Assistants
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2011,Medical and Clinical Laboratory Technologists
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2012,Medical and Clinical Laboratory Technicians
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2031,Cardiovascular Technologists and Technicians
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2032,Diagnostic Medical Sonographers
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2034,Radiologic Technologists and Technicians
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2041,Emergency Medical Technicians and Paramedics
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2052,Pharmacy Technicians
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2055,Surgical Technologists
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2056,Veterinary Technologists and Technicians
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2091,Orthotists and Prosthetists
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-2099,"Health Technologists and Technicians, All Other"
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-9011,Occupational Health and Safety Specialists
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",29-9099,"Healthcare Practitioners and Technical Workers, All Other"
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",31-9095,Pharmacy Aides
369,"HEALTH TECHNOLOGISTS AND TECHNICIANS, NOT ELSEWHER",31-9096,Veterinary Assistants and Laboratory Animal Caretakers
3711,ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGIST,17-3023,Electrical and Electronic Engineering Technicians
3711,ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGIST,27-4012,Broadcast Technicians
3711,ELECTRICAL AND ELECTRONIC ENGINEERING TECHNOLOGIST,51-9141,Semiconductor Processors
3712,INDUSTRIAL ENGINEERING TECHNOLOGISTS AND TECHNICIA,17-3026,Industrial Engineering Technicians
3713,MECHANICAL ENGINEERING TECHNOLOGISTS AND TECHNICIA,17-2141,Mechanical Engineers
3713,MECHANICAL ENGINEERING TECHNOLOGISTS AND TECHNICIA,17-3027,Mechanical Engineering Technicians
3719,"ENGINEERING TECHNOLOGISTS AND TECHNICIANS, NEC",17-3012,Electrical and Electronics Drafters
3719,"ENGINEERING TECHNOLOGISTS AND TECHNICIANS, NEC",17-3021,Aerospace Engineering and Operations Technicians
3719,"ENGINEERING TECHNOLOGISTS AND TECHNICIANS, NEC",17-3022,Civil Engineering Technicians
